,Property Type:,Bedrooms:,Bathrooms/WCs:,Floor area:,No. of floors:,Car parking spaces:,Area of land:,Availability:,Nearest bus stop:,Nearest train station:,Price,Location
1138,House,4,3.0,2800 sq.ft.,,,8 perches,"
Available now ",,,Rs. 29M     ,Malabe
1139,House,4,2.0,2000 sq.ft.,,,8 perches,"
Available now ",,,Rs. 15M     ,Piliyandala
1140,House,above 5,8.0,10000 sq.ft.,,,20.5 perches,"
Available now ",,,Rs. 185M     ,Pannipitiya
1141,House,4,4.0,2500 sq.ft.,,,20 perches,"
Available now ",,,Rs. 25M     ,Polgasowita
1142,House,4,4.0,2500 sq.ft.,,,8.01 perches,"
Available now ",,,Rs. 27M     ,Piliyandala
1143,House,3,3.0,2924 sq.ft.,,3.0,13.5 perches,"
Available now ",,,Rs. 36M     ,Mabola
1144,House,above 5,3.0,,,3.0,11 perches,"
Available now ",,,Rs. 30M     ,Malabe
1145,House,3,,1650 sq.ft.,,3.0,19 perches,"
Available now ",,,Rs. 26M     ,Wattala
1146,House,3,1.0,1850 sq.ft.,,,11.5 perches,"
Available now ",,,Rs. 23M     ,Battaramulla
1147,House,5,3.0,1500 sq.ft.,,,9 perches,"
Available now ",,,Rs. 17.5M     ,Moratuwa
1148,House,3,2.0,1700 sq.ft.,,,8.3 perches,"
Available now ",,,Rs. 18.5M     ,Pannipitiya
1149,House,3,2.0,,,,14 perches,"
Available now ",,,Rs. 67.2M     ,Ethul Kotte
1150,House,3,2.0,1500 sq.ft.,,,6 perches,"
Available now ",,,Rs. 30M     ,Nugegoda
1151,House,4,3.0,3100 sq.ft.,,,6 perches,"
Available now ",,,Rs. 31M     ,Boralesgamuwa
1152,House,4,4.0,4750 sq.ft.,3.0,3.0,22 perches,"
Available now ",,,Rs. 120M     ,Pelawatte
1153,House,4,4.0,3200 sq.ft.,,,6.75 perches,"
Available now ",,,Rs. 41M     ,Battaramulla
1154,House,4,4.0,4000 sq.ft.,,,14.7 perches,"
Available now ",,,Rs. 120M     ,Battaramulla
1155,House,4,3.0,2750 sq.ft.,,,10.25 perches,"
Available now ",,,Rs. 30M     ,Kadawatha
1156,House,3,4.0,3200 sq.ft.,,,6.3 perches,"
Available now ",,,Rs. 39M     ,Dehiwala
1157,House,4,3.0,8000 sq.ft.,,3.0,29.5 perches,"
Available now ",,,    ,Kaduwela
1158,House,3,3.0,1400 sq.ft.,,,335 perches,"
Available now ",,,Rs. 142.38M     ,Negombo
1159,House,5,4.0,,,,18.30 perches,"
Available now ",,,Rs. 39M     ,Kadawatha
1160,House,3,2.0,1400 sq.ft.,,,10.5 perches,"
Available now ",,,Rs. 21M     ,Malabe
1161,House,3,2.0,,,6.0,42 perches,"
Available now ",,,Rs. 59M     ,Wadduwa
1162,House,3,2.0,1264 sq.ft.,,1.0,,"
Available now ",,,Rs. 30M     ,Battaramulla
1163,House,3,2.0,1033 sq.ft.,,1.0,,"
Available now ",,,Rs. 27M     ,Battaramulla
1164,House,4,4.0,4750 sq.ft.,3.0,3.0,22 perches,"
Available now ",,,Rs. 120M     ,Pelawatte
1165,House,above 5,,6000 sq.ft.,2.0,4.0,24 perches,"
Available now ",,,Rs. 396M     ,Colombo 3
1166,House,3,1.0,1400 sq.ft.,1.0,1.0,10.5 perches,"
Available now ",,,Rs. 21M     ,Malabe
1167,House,5,4.0,,,,40 perches,"
Available now ",,,Rs. 145M     ,Pelawatte
1168,House,3,3.0,,,2.0,10 perches,"
Available now ",,,Rs. 120M     ,Colombo 5
1169,House,above 5,6.0,4000 sq.ft.,,2.0,10.3 perches,"
Available now ",,,Rs. 85M     ,Dehiwala
1170,House,4,5.0,3000 sq.ft.,,2.0,11 perches,"
Available now ",,,Rs. 55M     ,Battaramulla
1171,House,above 5,4.0,2643 sq.ft.,,2.0,8.56 perches,"
Available now ",,,Rs. 180M     ,Colombo 8
1172,House,5,3.0,5000 sq.ft.,,2.0,182 perches,"
Available now ",,,Rs. 69.5M     ,Padukka
1173,House,4,1.0,,1.0,,50 perches,"
Available now ",1km,1km,Rs. 17.5M ONO   ,Ahangama
1174,House,3,1.0,2 sq.ft.,2.0,,43 perches,"
Available now ",50km,,Rs. 7M     ,Dambulla
1175,House,4,3.0,2900 sq.ft.,,,21 perches,"
Available now ",,,Rs. 30M     ,Piliyandala
1176,House,2,2.0,3700 sq.ft.,,,18 perches,"
Available now ",,,Rs. 115M     ,Colombo 8
1177,House,5,5.0,4600 sq.ft.,,,8.5 perches,"
Available now ",,,Rs. 180M     ,Colombo 5
1178,House,4,3.0,2500 sq.ft.,,,17.2 perches,"
Available now ",,,Rs. 80M     ,Ethul Kotte
1179,House,4,3.0,3500 sq.ft.,,,13 perches,"
Available now ",,,Rs. 35M     ,Thalawathugoda
1180,House,4,3.0,3500 sq.ft.,,,13 perches,"
Available now ",,,Rs. 70M     ,Battaramulla
1181,House,5,3.0,4012 sq.ft.,,,43 perches,"
Available now ",,,Rs. 120M     ,Battaramulla
1182,House,above 5,9.0,10000 sq.ft.,,,25 perches,"
Available now ",,,Rs. 230M     ,Nugegoda
1183,House,4,1.0,2500 sq.ft.,2.0,,22  perches,"
Available now ",150km,2km,Rs. 25M     ,Kurunegala
1184,House,4,3.0,3100 sq.ft.,,,6 perches,"
Available now ",,,Rs. 31M     ,Boralesgamuwa
1185,House,5,3.0,3000 sq.ft.,,,10 perches,"
Available now ",,,Rs. 60M     ,Ethul Kotte
1186,House,4,3.0,3000 sq.ft.,,,145 perches,"
Available now ",,,Rs. 55M     ,Panadura
1187,House,3,2.0,2500 sq.ft.,,,12.5 perches,"
Available now ",,,Rs. 75M     ,Dehiwala
1188,House,4,3.0,8000 sq.ft.,,,29.5 perches,"
Available now ",,,Rs. 75M     ,Kaduwela
1189,House,3,1.0,1 sq.ft.,,2.0,10 perches,"
For Urgent Sale ",50m,2km,Rs. 2.2M     ,Vavuniya
1190,House,3,3.0,4000 sq.ft.,3.0,5.0,13 perches,"
Available now ",,,Rs. 45M     ,Malabe
1191,House,3,2.0,2000 sq.ft.,,6.0,24.7 perches,"
Available now ",,,Rs. 50M ONO   ,Maharagama
1192,House,5,3.0,4100 sq.ft.,2.0,6.0,45 perches,"
Available now ",400m,5km,Rs. 120M ONO   ,Battaramulla
1193,House,4,,11 sq.ft.,,,,"
Available now ",,,Rs. 220M ONO   ,Colombo 3
1194,House,3,,3000 sq.ft.,,,6.5 perches,"
Available now ",,,Rs. 145M ONO   ,Colombo 3
1195,House,above 5,,3500 sq.ft.,3.0,,7.5 perches,"
Available now ",,,Rs. 150M ONO   ,Colombo 3
1196,House,4,2.0,,,2.0,60 perches,"
Available now ",,,Rs. 15.5M     ,Kaduwela
1197,House,4,3.0,2650 sq.ft.,2.0,2.0,7 perches,"
Available now ",,,Rs. 70M ONO   ,Colombo 10
1198,House,5,3.0,1500 sq.ft.,,,9 perches,"
Available now ",,,Rs. 17.5M     ,Moratuwa
1199,House,3,2.0,1700 sq.ft.,,,8.3 perches,"
Available now ",,,Rs. 18.5M     ,Pannipitiya
1200,House,4,3.0,2800 sq.ft.,,,8 perches,"
Available now ",,,Rs. 29M     ,Malabe
1201,House,4,4.0,7500 sq.ft.,3.0,4.0,240 perches,"
Available now ",,,Rs. 250M     ,Panadura
1202,House,3,2.0,,,,7 perches,"
Available now ",,,Rs. 14M     ,Pittugala
1203,House,4,3.0,2850 sq.ft.,2.0,2.0,,"
Available now ",200m,,Rs. 22M     ,Maharagama
1204,House,4,3.0,4200 sq.ft.,2.0,6.0,272 perches,"
For Urgent Sale ",500m,5km,Rs. 39M ONO   ,Kandy
1205,House,4,2.0,2000 sq.ft.,,,8 perches,"
Available now ",,,Rs. 15M     ,Piliyandala
1206,House,4,4.0,3400 sq.ft.,,,10.5 perches,"
Available now ",,,Rs. 31M     ,Athurugiriya
1207,House,above 5,8.0,10000 sq.ft.,,,20.5 perches,"
Available now ",,,Rs. 185M     ,Pannipitiya
1208,House,3,2.0,2500 sq.ft.,,,14 perches,"
Available now ",,,Rs. 67.2M     ,Ethul Kotte
1209,House,5,2.0,2300 sq.ft.,,,7.8 perches,"
Available now ",,,Rs. 50M     ,Colombo 13
1210,House,4,4.0,2500 sq.ft.,,,8.01 perches,"
Available now ",,,Rs. 27M     ,Piliyandala
1211,House,5,3.0,3000 sq.ft.,,,6.5 perches,"
Available now ",,,Rs. 38M     ,Kohuwala
1212,House,3,3.0,1750 sq.ft.,,,10 perches,"
Available now ",,,Rs. 16M     ,Hokandara
1213,House,4,3.0,8200 sq.ft.,,,29.1 perches,"
Available now ",,,Rs. 155M     ,Colombo 10
1214,House,2,1.0,1200 sq.ft.,,,1.5 perches,"
Available now ",,,Rs. 19.5M     ,Colombo 10
1215,House,3,2.0,931 sq.ft.,,2.0,8 perches,"
Available now ",,,Rs. 43M     ,Colombo 9
1216,House,3,2.0,1500 sq.ft.,,2.0,6 perches,"
Available now ",,,Rs. 30M     ,Nugegoda
1217,House,3,3.0,4250 sq.ft.,,3.0,,"
Available now ",,,Rs. 220M     ,Colombo 2
1218,House,7,6.0,11000 sq.ft.,,6.0,,"
 ",,,Rs. 75M    ,Battaramulla
1219,House,5,3.0,,3.0,3.0,60 perches,"
Available now ",,,Rs. 55M     ,Thalapathpitiya
1220,House,4,3.0,5000 sq.ft.,,2.0,,"
Available now ",,,Rs. 95M     ,Hokandara
1221,House,4,2.0,,,2.0,8 perches,"
Available now ",,,Rs. 15.5M     ,Kaduwela
1222,House,4,4.0,3540 sq.ft.,,4.0,23.4 perches,"
Available now ",,,Rs. 195M     ,Colombo 8
1223,House,5,,3000 sq.ft.,,2.0,,"
Available now ",,,Rs. 140M ONO   ,Colombo 3
1224,House,2,1.0,,,,7 perches,"
Available now ",,,Rs. 28M     ,Rajagiriya
1225,House,above 5,,,,2.0,15.3 perches,"
Available now ",,,Rs. 75M     ,Dehiwala
1226,House,3,3.0,,,2.0,11 perches,"
Available now ",,,Rs. 55M     ,Colombo 5
1227,House,4,3.0,3800 sq.ft.,3.0,2.0,29  perches,"
Sold ",,,Rs. 160M ONO   ,Colombo 6
1228,House,3,3.0,2500 sq.ft.,,4.0,11 perches,"
For Urgent Sale ",,,Rs. 175M ONO   ,Colombo 7
1229,House,4,3.0,2500 sq.ft.,,,17.2 perches,"
Available now ",,,Rs. 80M     ,Ethul Kotte
1230,House,2,2.0,3700 sq.ft.,,,18 perches,"
Available now ",,,Rs. 115M     ,Colombo 8
1231,House,4,3.0,2700 sq.ft.,2.0,,12.25 ,"
Available now ",,,Rs. 240M ONO   ,Colombo 7
1232,House,3,2.0,4000 sq.ft.,,,20 perches,"
Available now ",,,Rs. 23M     ,Pannipitiya
1233,House,5,5.0,3000 sq.ft.,,4.0,16 perches,"
Available now ",,,Rs. 80M     ,Pelawatte
1234,House,3,3.0,2200 sq.ft.,2.0,1.0,6 perches,"
Available now ",150m,7km,Rs. 17.3M ONO   ,Athurugiriya
1235,House,4,,4000 sq.ft.,2.0,,,"
For Urgent Sale ",,,Rs. 250M ONO   ,Lake Drive
1236,House,4,3.0,,,,,"
Available now ",,,Rs. 185M     ,Colombo 5
1237,House,5,5.0,4200 sq.ft.,,4.0,13 perches,"
Available now ",,,Rs. 39M     ,Nugegoda
1238,House,5,3.0,3500 sq.ft.,,6.0,13.15 perches,"
Available now ",,,Rs. 67M     ,Nugegoda
1239,House,4,,,,2.0,15 perches,"
Available now ",50m,1km,Rs. 109.5M     ,Colombo 6
1240,House,4,3.0,3000 sq.ft.,,6.0,18.6 perches,"
Available now ",,,Rs. 69M     ,Colombo 5
1241,House,4,3.0,2500 sq.ft.,,,17.2 perches,"
Available now ",,,Rs. 80M     ,Ethul Kotte
1242,House,3,3.0,,,2.0,9.35 perches,"
Available now ",,,Rs. 40M     ,Battaramulla
1243,House,4,2.0,,,,10 perches,"
Available now ",,,Rs. 29M     ,Wattala
1244,House,5,4.0,6000 sq.ft.,,,90 perches,"
Available now ",,,Rs. 225M     ,Pita Kotte
1245,House,above 5,5.0,4000 sq.ft.,,,8 perches,"
Available now ",,,Rs. 50M     ,Mount Lavinia
1246,House,5,3.0,4012 sq.ft.,,,45 perches,"
Available now ",,,Rs. 120M     ,Battaramulla
1247,House,4,4.0,20119 sq.ft.,2.0,2.0,74 perches,"
Available now ",100m,,Rs. 105M     ,Balangoda
1248,House,4,2.0,1350 sq.ft.,2.0,,9.2 perches,"
Available now ",,,Rs. 27.5M     ,Wattala
1249,House,5,2.0,3000 sq.ft.,2.0,2.0,29.3 perches,"
Available now ",,,Rs. 135M     ,Dehiwala
1250,House,5,4.0,4500 sq.ft.,3.0,2.0,15.5 perches,"
Available now ",,,Rs. 85M ONO   ,Dehiwala
1251,House,3,4.0,3000 sq.ft.,3.0,3.0,8 perches,"
Available now ",,,Rs. 29.5M     ,Rathmalana
1252,House,above 5,12.0,,,,,"
Available now ",,,Rs. 100M     ,Tangalle
1253,House,5,4.0,2800 sq.ft.,2.0,2.0,10.50 perches,"
Available now ",,,Rs. 45M     ,Kiribathgoda
1254,House,5,3.0,3600 sq.ft.,2.0,2.0,11 perches,"
Available now ",,,Rs. 28.5M     ,Wattala
1255,House,4,4.0,4500 sq.ft.,2.0,,62 perches,"
Available now ",,,Rs. 250M     ,Wattala
1256,House,4,2.0,,1.0,,52 perches,"
For Urgent Sale ",,,Rs. 17M ONO   ,Weligama
1257,House,5,1.0,2600 sq.ft.,1.0,3.0,15 perches,"
Available now ",,,Rs. 35M     ,Wattala
1258,House,5,3.0,3700 sq.ft.,2.0,6.0,39 perches,"
Available now ",,,Rs. 78M     ,Wattala
1259,House,3,2.0,2924 sq.ft.,2.0,3.0,13.5 perches,"
Available now ",,,Rs. 40M ONO   ,Wattala
1260,House,4,2.0,3500 sq.ft.,1.0,6.0,15 perches,"
Available now ",,,Rs. 37.5M ONO   ,Wattala
1261,House,4,3.0,2500 sq.ft.,,,9.72 perches,"
Available now ",,,Rs. 85M ONO   ,Colombo 10
1262,House,4,3.0,4000 sq.ft.,,,50 perches,"
Available now ",,,Rs. 375M     ,Colombo 8
1263,House,5,3.0,3200 sq.ft.,2.0,1.0,10 perches,"
Available now ",,,Rs. 33M     ,Kadawatha
1264,House,5,2.0,4500 sq.ft.,2.0,6.0,30 perches,"
Available now ",,,Rs. 40M     ,Kadawatha
1265,House,4,3.0,5000 sq.ft.,2.0,3.0,18 perches,"
Available now ",50m,5km,Rs. 70M     ,Battaramulla
1266,House,5,3.0,2200 sq.ft.,3.0,2.0,12 perches,"
Available now ",500m,,Rs. 35M     ,Kaduwela
1267,House,4,3.0,2114 sq.ft.,2.0,1.0,10 perches,"
Available now ",150m,,Rs. 55M     ,Thalahena
1268,House,4,3.0,3750 sq.ft.,2.0,3.0,10.2 perches,"
Available now ",,,Rs. 52M ONO   ,Nugegoda
1269,House,3,3.0,2000 sq.ft.,1.0,3.0,16.25 perches,"
Available now ",,,Rs. 162.5M     ,Colombo 5
1270,House,above 5,4.0,4416 sq.ft.,3.0,4.0,18.7 perches,"
Available now ",,,Rs. 35M     ,Kiribathgoda
1271,House,above 5,4.0,4700 sq.ft.,3.0,4.0,21.83 perches,"
Available now ",700m,,Rs. 38M     ,Kadawatha
1272,House,4,2.0,3000 sq.ft.,2.0,,10 perches,"
Available now ",,,Rs. 37M     ,Nugegoda
1273,House,5,5.0,,,,17 perches,"
Available now ",,,Rs. 130M     ,Ethul Kotte
1274,House,5,3.0,3000 sq.ft.,,,7.5 perches,"
Available now ",,,Rs. 111M     ,Colombo 6
1275,House,4,,5169 sq.ft.,,2.0,19 perches,"
Available now ",,,Rs. 26M     ,Panadura
1276,House,4,,3400 sq.ft.,3.0,2.0,6.6 perches,"
Available now ",500m,,Rs. 35M     ,Thalawathugoda
1277,House,4,2.0,3400 sq.ft.,,,32 perches,"
Available now ",,,Rs. 32.5M     ,Ganemulla
1278,House,3,2.0,1800 sq.ft.,2.0,2.0,21 perches,"
Available now ",,,Rs. 40M     ,Kiribathgoda
1279,House,5,2.0,5200 sq.ft.,2.0,2.0,43 perches,"
Available now ",,,Rs. 45M     ,Kiribathgoda
1280,House,3,2.0,1500 sq.ft.,,,,"
Available now ",,,Rs. 36M     ,Colombo 6
1281,House,3,3.0,2750 sq.ft.,,,54.5 perches,"
Available now ",,,    ,Kandy
1282,House,5,4.0,5000 sq.ft.,2.0,2.0,11 perches,"
Available now ",500m,6km,Rs. 60M     ,Maharagama
1283,House,2,2.0,,,2.0,210 perches,"
Available now ",,2km,Rs. 30M ONO   ,Ella
1284,House,3,2.0,2350 sq.ft.,,,,"
Available now ",,,Rs. 85M     ,Rajagiriya
1285,House,5,4.0,3900 sq.ft.,2.0,3.0,14.93 perches,"
Available now ",200m,2km,Rs. 165M     ,Colombo 8
1286,House,above 5,10.0,13500 sq.ft.,3.0,6.0,21 perches,"
Price Reduced! ",1km,1km,Rs. 210M ONO   ,Colombo 6
1287,House,3,3.0,2300 sq.ft.,,2.0,8.3 perches,"
For Urgent Sale ",,,Rs. 37.5M ONO   ,Kohuwala
1288,House,4,2.0,3500 sq.ft.,1.0,3.0,44 perches,"
Available now ",300m,1km,Rs. 24M ONO   ,Bandarawela
1289,House,3,2.0,1231 sq.ft.,,1.0,7.8 perches,"
Available now ",650m,1.5km,Rs. 23.5M ONO   ,Mount Lavinia
1290,House,above 5,5.0,7200 sq.ft.,2.0,2.0,28 perches,"
Available now ",10m,2km,Rs. 85M ONO   ,Piliyandala
1291,House,above 5,10.0,15000 sq.ft.,,,21 perches,"
Price Reduced! ",,,Rs. 210M ONO   ,Colombo 6
1292,House,4,4.0,4100 sq.ft.,2.0,2.0,10.5 perches,"
Available now ",,,Rs. 65M ONO   ,Nawinna
1293,House,above 5,7.0,2500 sq.ft.,2.0,6.0,17.5 perches,"
Available now ",,,Rs. 67M     ,Kohuwala
1294,House,4,,3000 sq.ft.,,,14 perches,"
Available now ",,,Rs. 140M ONO   ,Colombo 6
1295,House,above 5,5.0,10000 sq.ft.,4.0,6.0,32 perches,"
Price Reduced! ",,,Rs. 265M     ,Pita Kotte
1296,House,5,4.0,,,2.0,6.3 perches,"
Available now ",,,Rs. 50M     ,Nawala
1297,House,4,3.0,3000 sq.ft.,3.0,2.0,7.5 perches,"
Available now ",,,Rs. 150M     ,Colombo 5
1298,House,above 5,7.0,5000 sq.ft.,3.0,2.0,29 perches,"
Available now ",,,    ,Pannipitiya
1299,House,above 5,4.0,3500 sq.ft.,2.0,,,"
Available now ",,,Rs. 70M     ,Mirissa
1300,House,5,2.0,3643 sq.ft.,2.0,2.0,9.33 perches,"
Available now ",,,Rs. 40M     ,Pita Kotte
1301,House,5,3.0,3000 sq.ft.,3.0,,6.47 perches,"
Available now ",,,Rs. 25M     ,Boralesgamuwa
1302,House,3,2.0,2500 sq.ft.,1.0,2.0,10 perches,"
Available now ",,,Rs. 39M     ,Pelawatte
1303,House,4,5.0,11000 sq.ft.,2.0,4.0,20  perches,"
Available now ",,,Rs. 74M     ,Thalawathugoda
1304,House,4,3.0,2500 sq.ft.,2.0,6.0,154 perches,"
Available now ",200m,,Rs. 55M     ,Panadura
1305,House,4,3.0,4400 sq.ft.,2.0,3.0,20 perches,"
Available now ",,,Rs. 62M     ,Battaramulla
1306,House,4,3.0,4000 sq.ft.,3.0,2.0,9 perches,"
Available now ",500m,,Rs. 70M     ,Battaramulla
1307,House,4,3.0,3000 sq.ft.,2.0,4.0,8 perches,"
Available now ",,,Rs. 100M     ,Colombo 4
1308,House,4,4.0,14000 sq.ft.,,,351 perches,"
Available now ",,,Rs. 250M     ,Negombo
1309,House,5,5.0,3600 sq.ft.,,,10 perches,"
Available now ",,,Rs. 28M     ,Kandana
1310,House,above 5,6.0,7500 sq.ft.,2.0,5.0,22 perches,"
Price Reduced! ",1km,2km,Rs. 180M ONO   ,Dehiwala
1311,House,4,,,,2.0,21.2 perches,"
Available now ",,,Rs. 127.2M ONO   ,Colombo 6
1312,House,above 5,8.0,13000 sq.ft.,3.0,6.0,47 perches,"
Available now ",100m,5km,Rs. 170M     ,Pita Kotte
1313,House,above 5,7.0,,,,,"
Available now ",,,Rs. 75M     ,Tangalle
1314,House,3,3.0,3000 sq.ft.,2.0,,15 perches,"
Available now ",,,Rs. 32.5M     ,Pannipitiya
1315,House,3,2.0,1139 sq.ft.,1.0,1.0,6.9 perches,"
Available now ",,,Rs. 14.5M     ,Homagama
1316,House,3,3.0,4440 sq.ft.,2.0,2.0,19 perches,"
Available now ",,,Rs. 320M     ,Colombo 7
1317,House,5,5.0,3850 sq.ft.,3.0,2.0,7 perches,"
Available now ",1km,,Rs. 37.5M     ,Malabe
1318,House,4,3.0,3275 sq.ft.,2.0,2.0,15 perches,"
Available now ",200m,,Rs. 37.5M     ,Boralesgamuwa
1319,House,5,5.0,3200 sq.ft.,3.0,2.0,11 perches,"
Available now ",750m,,Rs. 45M     ,Hokandara
1320,House,4,3.0,4000 sq.ft.,1.0,2.0,21 perches,"
Available now ",,,Rs. 49.5M     ,Battaramulla
1321,House,5,4.0,3600 sq.ft.,2.0,3.0,16.89 perches,"
Available now ",,,Rs. 110M     ,Rajagiriya
